ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A0JVXS5;РЕСО-Лизинг ООО БО-4;3000;02.11.2023;1000;RUB;1000;11,2;55,85;55,85
XS2353064335;BCS SP Plc Series 182;10;01.11.2023;1250;USD;1250;;;
XS1764143597;BCS SP Plc Series 2018-1;100;01.11.2023;100000;USD;100000;6,11;1561,444;145553,79
RU000A1066D5;ОФЗ-ПК 29024 18/04/35;750000;01.11.2023;1000;RUB;1000;;;
RU000A105G16;ОФЗ-ПК 29022 20/07/33;1000000;01.11.2023;1000;RUB;1000;;;
RU000A106TM6;Банк ВТБ (ПАО) Б-1-343;20000;01.11.2023;1000;RUB;1000;13;11,04;11,04
RU000A106GC4;АРЕНЗА-ПРО 001P-02;400;01.11.2023;1000;RUB;1000;13;10,68;10,68
RU000A106GB6;Лизинг-Трейд 001P-09;300;01.11.2023;1000;RUB;1000;14;11,51;11,51
RU000A105CS1;Селигдар 001Р-01;10000;01.11.2023;1000;RUB;1000;10,8;53,85;53,85
RU000A103QE6;Банк ВТБ (ПАО) Б-1-240;521,969;01.11.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A103QD8;Банк ВТБ (ПАО) Б-1-239;157,009;01.11.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A103DY2;БЭЛТИ-ГРАНД ООО БО-П04;250;01.11.2023;1000;RUB;930;12,25;9,36;9,36
RU000A1032S5;ЛИТАНА 001P-01;300;01.11.2023;1000;RUB;1000;13;32,41;32,41
RU000A1032P1;ООО «СФО ВТБ РКС-1 »;35000;01.11.2023;1000;RUB;1000;8;6,79;6,79
RU000A1031Y5;ВЭБ.РФ ПБО-001Р-28;80000;01.11.2023;1000;RUB;1000;7,97;39,74;39,74
RU000A102Y74;Банк ВТБ (ПАО) Б-1-206;456,652;01.11.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A100YD8;Нафтатранс плюс ООО БО-02;250;01.11.2023;10000;RUB;3997;15;49,28;49,28
RU000A0ZYF38;ДОМ.РФ (АО) БО-07;5000;01.11.2023;1000;RUB;1000;11,1;27,67;27,67
RU000A0ZYF20;ДОМ.РФ (АО) БО-06;5000;01.11.2023;1000;RUB;1000;7,95;19,82;19,82
RU000A0NX456;ВЭБ.РФ ПБО-001Р-К444;20000;01.11.2023;1000;RUB;1000;13,05;5,01;5,01
